01/01/2016,Dia do Município,MUNICIPAL,"Dia do Municipio de Lindóia do Sul, segundo decreto 55/1990",SC,4209854
02/01/2016,Dia de Bom Jesus dos Navegantes,MUNICIPAL,"Feriado municipal instituído pelo Artigo 284 da Lei Orgânica do Município de Touros. A data celebra o padroeiro local, Bom Jesus dos Navegantes, e marca o encerramento da maior festividade religiosa da cidade, reconhecida como Patrimônio Cultural e Imaterial do Rio Grande do Norte pela Lei Estadual nº 11.706/2024.",RN,2414407
02/01/2016,Dia dos Pescadores e Marisqueiras,MUNICIPAL,"Feriado municipal dedicado aos pescadores e marisqueiras de Salinas da Margarida, reconhecendo a importância vital desta atividade para a economia e cultura local. A celebração integra o calendário oficial de feriados do município, conforme legislação local que institui as datas comemorativas da cidade.",BA,2927309
02/01/2016,Emancipação Política de Bacuri,MUNICIPAL,"Feriado municipal em comemoração ao aniversário de emancipação política e instalação do município de Bacuri, ocorrida em 2 de janeiro de 1962. A autonomia administrativa foi conquistada por meio da Lei Estadual nº 2.167, de 26 de dezembro de 1961, desmembrando-se do território de Guimarães.",MA,2101301
02/01/2016,Emancipação Política de Inajá,MUNICIPAL,"Comemoração oficial do aniversário de emancipação política de Inajá, ocorrida em 2 de janeiro de 1949. A data celebra a independência administrativa do município em relação ao território de Moxotó.",PE,2607000
02/01/2016,Emancipação Política de Maravilha,MUNICIPAL,"Feriado municipal em comemoração à emancipação política do município de Maravilha, ocorrida em 2 de janeiro de 1959. A autonomia administrativa foi estabelecida após o desmembramento do território de Santana do Ipanema, conforme os termos da Lei Estadual nº 2.138/1958.",AL,2704609
02/01/2016,Festa do Senhor do Bonfim,MUNICIPAL,"Feriado municipal em honra ao Senhor do Bonfim, uma das festividades religiosas mais antigas e tradicionais do Ceará. O dia 2 de janeiro marca o ápice das celebrações no município de Icó, com missas e procissões que atraem romeiros de diversas regiões.",CE,2305407
02/01/2016,Instalação do Município de Lagoa Nova,MUNICIPAL,"Feriado municipal que celebra a instalação administrativa e posse do primeiro prefeito de Lagoa Nova em 2 de janeiro de 1963. Embora a Lei Estadual nº 2.777 de 1962 tenha criado o município, a tradição local e o Decreto Municipal nº 001/1981 consagram o dia 2 de janeiro como a data oficial de celebração da autonomia política.",RN,2406502
03/01/2016,Aniversário de Ananindeua,MUNICIPAL,"Feriado municipal em comemoração ao aniversário de emancipação política de Ananindeua. A data celebra a elevação do então distrito à categoria de município em 3 de janeiro de 1944, conforme o Decreto-Lei Estadual nº 4.505. O feriado é formalmente instituído pela Lei Municipal nº 584, de 16 de junho de 1975.",PA,1500800
03/01/2016,Dia de Santa Genoveva (Padroeira),MUNICIPAL,"Feriado municipal em honra a Santa Genoveva, padroeira oficial de Irapuru. A cidade é reconhecida por ter um dos primeiros feriados religiosos do calendário anual no Brasil (3 de janeiro), dedicado à liturgia da santa que também é padroeira de Paris. Embora o aniversário da cidade seja em maio, o dia da padroeira é feriado local consolidado.",SP,3521606
03/01/2016,Emancipação Política de Jardim,MUNICIPAL,"Feriado municipal em celebração à emancipação política de Jardim, ocorrida em 3 de janeiro de 1816. A data marca a instalação da Vila após o desmembramento da antiga jurisdição da Vila Real do Crato. As festividades são de caráter cívico e religioso, incluindo tradicionalmente o hasteamento de pavilhões e missa solene em ação de graças na Igreja Matriz de Santo Antônio, padroeiro da cidade (embora a emancipação seja o feriado civil de janeiro).",CE,2307106
04/01/2016,Dia do Municipio,MUNICIPAL,"Dia do Aniversário da Cidade de União do Oeste, conforme lei 344, de 15 de outubro de 1997",SC,4218855
04/01/2016,Feriado Municipal,MUNICIPAL,,GO,5208806
04/01/2016,Feriado Municipal,MUNICIPAL,,PB,2508307
04/01/2016,Feriado Municipal,MUNICIPAL,,RS,4317400
04/01/2016,Feriado Municipal,MUNICIPAL,,RS,4318101
